Haus,house,Das ist mein Haus.,That is my house.,घर,वह मेरा घर है।
besuchen,to visit,Ich besuche meine Großeltern.,I visit my grandparents,मुआयना करने के लिए,मैं अपने दादा-दादी से मिलने जाता हूँ
wählen,to vote,Sie wählen bei jeder Wahl.,They vote in every election.,मतदान करना,वे हर चुनाव में वोट करते हैं.
warten,to wait,Wir warten jeden Morgen auf den Bus.,We wait for the bus every morning.,प्रतीक्षा करना,हम हर सुबह बस का इंतजार करते हैं।
aufwachen,to wake up,Ich wache um 7 Uhr auf.,I wake up at 7 AM.,जागृत करने के लिए,मैं सुबह 7 बजे उठता हूं.
wollen,to want,Ich will eine Tasse Kaffee.,I want a cup of coffee.,चाहने के लिए,मुझे एक कप कॉफी चाहिए।
warnen,to warn,Er warnt mich vor der Gefahr.,He warns me about the danger.,चेतावनी देना,वह मुझे ख़तरे के बारे में आगाह करता है.
waschen,to wash,Ich wasche meine Hände vor dem Essen.,I wash my hands before eating.,धोना,मैं खाने से पहले अपने हाथ धोता हूं।
fernsehen,to watch TV,Wir sehen jeden Abend fern.,We watch TV every evening.,टीवी देखना,हम हर शाम टीवी देखते हैं।
wiegen,to weigh,Sie wiegt das Gemüse sorgfältig.,She weighs the vegetables carefully.,वजन करना,वह सब्ज़ियों को ध्यान से तौलती है।
flüstern,to whisper,Er flüstert ihr ein Geheimnis zu.,He whispers a secret to her.,कानाफूसी के लिए,वह उसे एक रहस्य फुसफुसाता है।
gewinnen,to win,Sie gewinnen das Spiel leicht.,They win the game easily.,जीतने के लिए,वे आसानी से गेम जीत जाते हैं.
wünschen,to wish,Ich wünsche dir alles Gute zum Geburtstag.,I wish you a happy birthday.,इच्छा करना,मेरी ओर से आपको जन्मदिन की बधाई हो।
trainieren,to work out,Er trainiert jeden Tag im Fitnessstudio.,He works out at the gym every day.,कसरत करना,वह हर दिन जिम में वर्कआउट करते हैं।
schreiben,to write,Ich schreibe E-Mails an meine Kunden.,I write emails to my clients.,लिखना,मैं अपने ग्राहकों को ईमेल लिखता हूं।
